klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Loba Padel,Białołęka,playtomic,Padel 7,indoor,popoludnie (14-18),weekend,10,9,1,90.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,wieczor (18-22),weekend,10,6,4,60.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,noc,weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,rano (6-10),weekend,1,1,0,100.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,poludnie (10-14),weekend,9,9,0,100.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,popoludnie (14-18),weekend,10,10,0,100.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,wieczor (18-22),weekend,10,10,0,100.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,noc,weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,rano (6-10),weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,poludnie (10-14),weekend,3,3,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,popoludnie (14-18),weekend,5,5,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,wieczor (18-22),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,noc,weekend,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,rano (6-10),weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,poludnie (10-14),weekend,3,3,0,100.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,popoludnie (14-18),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,wieczor (18-22),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,noc,weekend,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,poludnie (10-14),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,popoludnie (14-18),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,wieczor (18-22),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,noc,weekend,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,poludnie (10-14),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,popoludnie (14-18),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,wieczor (18-22),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,noc,weekend,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,rano (6-10),weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,poludnie (10-14),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,popoludnie (14-18),weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,wieczor (18-22),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,noc,weekend,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,poludnie (10-14),weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,popoludnie (14-18),weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,wieczor (18-22),weekend,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,noc,weekend,3,0,3,0.0
Mana Padel,Wilanów,kluby_org,"(8) 4FLEX
Padel",indoor,poludnie (10-14),weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(8) 4FLEX
Padel",indoor,wieczor (18-22),weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(8) 4FLEX
Padel",indoor,noc,weekend,2,0,2,0.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,rano (6-10),weekend,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,poludnie (10-14),weekend,6,6,0,100.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,popoludnie (14-18),weekend,6,6,0,100.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,wieczor (18-22),weekend,4,4,0,100.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,noc,weekend,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,rano (6-10),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,poludnie (10-14),weekend,7,7,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,popoludnie (14-18),weekend,3,3,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,wieczor (18-22),weekend,4,4,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,noc,weekend,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,rano (6-10),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,poludnie (10-14),weekend,4,4,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,popoludnie (14-18),weekend,2,2,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,wieczor (18-22),weekend,4,4,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,noc,weekend,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,rano (6-10),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,poludnie (10-14),weekend,3,3,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,popoludnie (14-18),weekend,3,3,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,wieczor (18-22),weekend,3,3,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,noc,weekend,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 4
 Hala",indoor,poludnie (10-14),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 4
 Hala",indoor,popoludnie (14-18),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 4
 Hala",indoor,wieczor (18-22),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 4
 Hala",indoor,noc,weekend,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 5
 Hala",indoor,poludnie (10-14),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 5
 Hala",indoor,popoludnie (14-18),weekend,3,3,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 5
 Hala",indoor,wieczor (18-22),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 5
 Hala",indoor,noc,weekend,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 6
 Hala",indoor,popoludnie (14-18),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 6
 Hala",indoor,noc,weekend,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 7
 Hala",indoor,popoludnie (14-18),weekend,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 7
 Hala",indoor,noc,weekend,3,0,3,0.0
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,rano (6-10),weekend,1,1,0,100.0
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,poludnie (10-14),weekend,9,9,0,100.0
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,popoludnie (14-18),weekend,10,10,0,100.0
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,wieczor (18-22),weekend,10,5,5,50.0
RQT Spot,Bielany,playtomic,Padel 1 (kryty),indoor,noc,weekend,5,5,0,100.0
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,rano (6-10),weekend,1,0,1,0.0
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,poludnie (10-14),weekend,9,0,9,0.0
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,popoludnie (14-18),weekend,10,0,10,0.0
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,wieczor (18-22),weekend,10,2,8,20.0
RQT Spot,Bielany,playtomic,Padel 10 (zewnętrzny) 1,outdoor,noc,weekend,5,5,0,100.0
RQT Spot,Bielany,playtomic,Padel 2 (kryty),indoor,rano (6-10),weekend,1,1,0,100.0
RQT Spot,Bielany,playtomic,Padel 2 (kryty),indoor,poludnie (10-14),weekend,9,9,0,100.0
RQT Spot,Bielany,playtomic,Padel 2 (kryty),indoor,popoludnie (14-18),weekend,10,10,0,100.0
RQT Spot,Bielany,playtomic,Padel 2 (kryty),indoor,wieczor (18-22),weekend,10,4,6,40.0
RQT Spot,Bielany,playtomic,Padel 2 (kryty),indoor,noc,weekend,5,5,0,100.0
RQT Spot,Bielany,playtomic,Padel 3 (kryty),indoor,rano (6-10),weekend,1,1,0,100.0
RQT Spot,Bielany,playtomic,Padel 3 (kryty),indoor,poludnie (10-14),weekend,9,9,0,100.0
RQT Spot,Bielany,playtomic,Padel 3 (kryty),indoor,popoludnie (14-18),weekend,10,10,0,100.0
RQT Spot,Bielany,playtomic,Padel 3 (kryty),indoor,wieczor (18-22),weekend,10,4,6,40.0
RQT Spot,Bielany,playtomic,Padel 3 (kryty),indoor,noc,weekend,5,5,0,100.0
RQT Spot,Bielany,playtomic,Padel 4 (kryty),indoor,rano (6-10),weekend,1,1,0,100.0
RQT Spot,Bielany,playtomic,Padel 4 (kryty),indoor,poludnie (10-14),weekend,9,8,1,88.9
RQT Spot,Bielany,playtomic,Padel 4 (kryty),indoor,popoludnie (14-18),weekend,10,10,0,100.0
RQT Spot,Bielany,playtomic,Padel 4 (kryty),indoor,wieczor (18-22),weekend,10,4,6,40.0
RQT Spot,Bielany,playtomic,Padel 4 (kryty),indoor,noc,weekend,5,5,0,100.0
RQT Spot,Bielany,playtomic,Padel 5 (zewnętrzny),outdoor,rano (6-10),weekend,1,1,0,100.0
RQT Spot,Bielany,playtomic,Padel 5 (zewnętrzny),outdoor,poludnie (10-14),weekend,9,2,7,22.2
RQT Spot,Bielany,playtomic,Padel 5 (zewnętrzny),outdoor,popoludnie (14-18),weekend,10,4,6,40.0
RQT Spot,Bielany,playtomic,Padel 5 (zewnętrzny),outdoor,wieczor (18-22),weekend,10,8,2,80.0
RQT Spot,Bielany,playtomic,Padel 5 (zewnętrzny),outdoor,noc,weekend,5,5,0,100.0
RQT Spot,Bielany,playtomic,Padel 6 (zewnętrzny),outdoor,rano (6-10),weekend,1,1,0,100.0
RQT Spot,Bielany,playtomic,Padel 6 (zewnętrzny),outdoor,poludnie (10-14),weekend,9,5,4,55.6
RQT Spot,Bielany,playtomic,Padel 6 (zewnętrzny),outdoor,popoludnie (14-18),weekend,10,0,10,0.0
RQT Spot,Bielany,playtomic,Padel 6 (zewnętrzny),outdoor,wieczor (18-22),weekend,10,8,2,80.0
RQT Spot,Bielany,playtomic,Padel 6 (zewnętrzny),outdoor,noc,weekend,5,5,0,100.0
RQT Spot,Bielany,playtomic,Padel 7 Single (kryty),indoor,rano (6-10),weekend,1,1,0,100.0
RQT Spot,Bielany,playtomic,Padel 7 Single (kryty),indoor,poludnie (10-14),weekend,9,9,0,100.0
RQT Spot,Bielany,playtomic,Padel 7 Single (kryty),indoor,popoludnie (14-18),weekend,10,10,0,100.0
RQT Spot,Bielany,playtomic,Padel 7 Single (kryty),indoor,wieczor (18-22),weekend,10,6,4,60.0
RQT Spot,Bielany,playtomic,Padel 7 Single (kryty),indoor,noc,weekend,5,5,0,100.0
RQT Spot,Bielany,playtomic,Padel 8 Single (kryty),indoor,rano (6-10),weekend,1,1,0,100.0
RQT Spot,Bielany,playtomic,Padel 8 Single (kryty),indoor,poludnie (10-14),weekend,9,9,0,100.0
RQT Spot,Bielany,playtomic,Padel 8 Single (kryty),indoor,popoludnie (14-18),weekend,10,10,0,100.0
RQT Spot,Bielany,playtomic,Padel 8 Single (kryty),indoor,wieczor (18-22),weekend,10,7,3,70.0
RQT Spot,Bielany,playtomic,Padel 8 Single (kryty),indoor,noc,weekend,5,5,0,100.0
RQT Spot,Bielany,playtomic,Padel 9 (zewnętrzny) 1,outdoor,rano (6-10),weekend,1,0,1,0.0
RQT Spot,Bielany,playtomic,Padel 9 (zewnętrzny) 1,outdoor,poludnie (10-14),weekend,9,0,9,0.0
RQT Spot,Bielany,playtomic,Padel 9 (zewnętrzny) 1,outdoor,popoludnie (14-18),weekend,10,0,10,0.0
RQT Spot,Bielany,playtomic,Padel 9 (zewnętrzny) 1,outdoor,wieczor (18-22),weekend,10,2,8,20.0
RQT Spot,Bielany,playtomic,Padel 9 (zewnętrzny) 1,outdoor,noc,weekend,5,5,0,100.0
Rakiety Aero - Padel Outdoor,Wawer,playtomic,Padel Outdoor,outdoor,rano (6-10),weekend,1,1,0,100.0
Rakiety Aero - Padel Outdoor,Wawer,playtomic,Padel Outdoor,outdoor,poludnie (10-14),weekend,9,3,6,33.3
Rakiety Aero - Padel Outdoor,Wawer,playtomic,Padel Outdoor,outdoor,popoludnie (14-18),weekend,8,7,1,87.5
San Padel,Ursynów,playtomic,Padel 1,indoor,rano (6-10),weekend,1,1,0,100.0
San Padel,Ursynów,playtomic,Padel 1,indoor,poludnie (10-14),weekend,9,6,3,66.7
San Padel,Ursynów,playtomic,Padel 1,indoor,popoludnie (14-18),weekend,10,9,1,90.0
San Padel,Ursynów,playtomic,Padel 1,indoor,wieczor (18-22),weekend,10,6,4,60.0
San Padel,Ursynów,playtomic,Padel 1,indoor,noc,weekend,5,5,0,100.0
San Padel,Ursynów,playtomic,Padel 10,indoor,rano (6-10),weekend,1,1,0,100.0
San Padel,Ursynów,playtomic,Padel 10,indoor,poludnie (10-14),weekend,9,2,7,22.2
San Padel,Ursynów,playtomic,Padel 10,indoor,popoludnie (14-18),weekend,10,9,1,90.0
San Padel,Ursynów,playtomic,Padel 10,indoor,wieczor (18-22),weekend,10,4,6,40.0
San Padel,Ursynów,playtomic,Padel 10,indoor,noc,weekend,5,5,0,100.0
San Padel,Ursynów,playtomic,Padel 11,indoor,rano (6-10),weekend,1,0,1,0.0
San Padel,Ursynów,playtomic,Padel 11,indoor,poludnie (10-14),weekend,9,1,8,11.1
San Padel,Ursynów,playtomic,Padel 11,indoor,popoludnie (14-18),weekend,10,6,4,60.0
San Padel,Ursynów,playtomic,Padel 11,indoor,wieczor (18-22),weekend,10,2,8,20.0
San Padel,Ursynów,playtomic,Padel 11,indoor,noc,weekend,5,5,0,100.0
San Padel,Ursynów,playtomic,Padel 12,indoor,rano (6-10),weekend,1,0,1,0.0
San Padel,Ursynów,playtomic,Padel 12,indoor,poludnie (10-14),weekend,9,1,8,11.1
San Padel,Ursynów,playtomic,Padel 12,indoor,popoludnie (14-18),weekend,10,6,4,60.0
San Padel,Ursynów,playtomic,Padel 12,indoor,wieczor (18-22),weekend,10,2,8,20.0
San Padel,Ursynów,playtomic,Padel 12,indoor,noc,weekend,5,5,0,100.0
San Padel,Ursynów,playtomic,Padel 2,indoor,rano (6-10),weekend,1,1,0,100.0
San Padel,Ursynów,playtomic,Padel 2,indoor,poludnie (10-14),weekend,9,9,0,100.0
