klub,dzielnica,source,kort,nawierzchnia,slot_date,day_of_week,typ_dnia,godzina,minuta,pora_dnia,wolny,booking_start,booking_end
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,16,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,16,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,17,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,17,30,popoludnie (14-18),0,17:30,19:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,18,0,wieczor (18-22),0,18:00,19:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,19,0,wieczor (18-22),0,19:00,20:30
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,20,30,wieczor (18-22),0,20:30,22:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,22,0,noc,0,22:00,00:00
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,22,30,noc,1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,23,0,noc,1,,
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,2026-05-31,Sunday,weekend,23,30,noc,1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,7,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,7,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,8,0,rano (6-10),0,08:00,09:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,8,30,rano (6-10),0,08:30,09:30
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,9,0,rano (6-10),0,09:00,10:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,10,0,poludnie (10-14),0,10:00,11:30
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,10,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,11,0,poludnie (10-14),0,11:00,13:30
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,11,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,12,0,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,13,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,14,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,14,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,15,30,popoludnie (14-18),0,15:30,17:30
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,16,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,16,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,17,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,18,0,wieczor (18-22),0,18:00,19:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,19,0,wieczor (18-22),0,19:00,20:30
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,20,30,wieczor (18-22),0,20:30,22:00
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,22,0,noc,1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,22,30,noc,1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,23,0,noc,1,,
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,2026-05-31,Sunday,weekend,23,30,noc,1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,7,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,7,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,8,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,8,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,9,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,10,0,poludnie (10-14),0,10:00,11:30
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,11,0,poludnie (10-14),0,11:00,13:00
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,11,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,12,0,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,13,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,14,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,14,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,15,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,16,0,popoludnie (14-18),0,16:00,17:00
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,17,0,popoludnie (14-18),0,17:00,18:00
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,18,0,wieczor (18-22),0,18:00,19:00
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,19,0,wieczor (18-22),0,19:00,20:30
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,20,30,wieczor (18-22),0,20:30,22:00
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,22,0,noc,0,22:00,23:00
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,2026-05-31,Sunday,weekend,23,30,noc,1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,7,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,7,30,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,8,0,rano (6-10),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,9,0,rano (6-10),0,09:00,10:00
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,10,0,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,13,30,poludnie (10-14),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,14,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,14,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,15,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,15,30,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,16,0,popoludnie (14-18),1,,
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,2026-05-31,Sunday,weekend,19,0,wieczor (18-22),0,19:00,20:30
