klub,dzielnica,source,kort,nawierzchnia,pora_dnia,typ_dnia,slotow,zajete,wolne,oblozenie_pct
Loba Padel,Białołęka,playtomic,Padel 5,indoor,popoludnie (14-18),tydzien,8,2,6,25.0
Loba Padel,Białołęka,playtomic,Padel 5,indoor,wieczor (18-22),tydzien,8,5,3,62.5
Loba Padel,Białołęka,playtomic,Padel 5,indoor,noc,tydzien,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 6,indoor,rano (6-10),tydzien,4,1,3,25.0
Loba Padel,Białołęka,playtomic,Padel 6,indoor,poludnie (10-14),tydzien,8,8,0,100.0
Loba Padel,Białołęka,playtomic,Padel 6,indoor,popoludnie (14-18),tydzien,8,5,3,62.5
Loba Padel,Białołęka,playtomic,Padel 6,indoor,wieczor (18-22),tydzien,8,6,2,75.0
Loba Padel,Białołęka,playtomic,Padel 6,indoor,noc,tydzien,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,rano (6-10),tydzien,4,1,3,25.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,poludnie (10-14),tydzien,8,8,0,100.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,popoludnie (14-18),tydzien,8,2,6,25.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,wieczor (18-22),tydzien,8,6,2,75.0
Loba Padel,Białołęka,playtomic,Padel 7,indoor,noc,tydzien,2,2,0,100.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,rano (6-10),tydzien,4,1,3,25.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,poludnie (10-14),tydzien,8,4,4,50.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,popoludnie (14-18),tydzien,8,4,4,50.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,wieczor (18-22),tydzien,8,6,2,75.0
Loba Padel,Białołęka,playtomic,Padel 8,indoor,noc,tydzien,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,rano (6-10),tydzien,3,3,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,poludnie (10-14),tydzien,3,3,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,popoludnie (14-18),tydzien,5,5,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,wieczor (18-22),tydzien,5,5,0,100.0
Mana Padel,Wilanów,kluby_org,"(2) OSHEE
Padel",indoor,noc,tydzien,4,1,3,25.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,rano (6-10),tydzien,4,4,0,100.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,poludnie (10-14),tydzien,3,3,0,100.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,popoludnie (14-18),tydzien,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,wieczor (18-22),tydzien,3,3,0,100.0
Mana Padel,Wilanów,kluby_org,"(3) Jaguar ERA
Padel",indoor,noc,tydzien,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,rano (6-10),tydzien,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,poludnie (10-14),tydzien,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,popoludnie (14-18),tydzien,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,wieczor (18-22),tydzien,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(4) BANDERAS
Padel",indoor,noc,tydzien,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,rano (6-10),tydzien,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,poludnie (10-14),tydzien,3,3,0,100.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,popoludnie (14-18),tydzien,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,wieczor (18-22),tydzien,2,2,0,100.0
Mana Padel,Wilanów,kluby_org,"(5)Dental Fraternity
Padel",indoor,noc,tydzien,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,rano (6-10),tydzien,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,poludnie (10-14),tydzien,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,popoludnie (14-18),tydzien,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(6) nikalab.
Padel",indoor,noc,tydzien,4,0,4,0.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,rano (6-10),tydzien,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,poludnie (10-14),tydzien,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,popoludnie (14-18),tydzien,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(7) BOMBILLA
Padel",indoor,noc,tydzien,3,0,3,0.0
Mana Padel,Wilanów,kluby_org,"(8) 4FLEX
Padel",indoor,popoludnie (14-18),tydzien,1,1,0,100.0
Mana Padel,Wilanów,kluby_org,"(8) 4FLEX
Padel",indoor,noc,tydzien,1,0,1,0.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,rano (6-10),tydzien,3,3,0,100.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,poludnie (10-14),tydzien,4,4,0,100.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,popoludnie (14-18),tydzien,6,6,0,100.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,wieczor (18-22),tydzien,5,5,0,100.0
Mana Padel,Wilanów,kluby_org,"Premier Padel Court
Padel",indoor,noc,tydzien,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,rano (6-10),tydzien,2,2,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,poludnie (10-14),tydzien,2,2,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,popoludnie (14-18),tydzien,2,2,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,wieczor (18-22),tydzien,5,4,1,80.0
Padlovnia,Ursynów,kluby_org,"Hala 1
 Hala",indoor,noc,tydzien,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,rano (6-10),tydzien,2,2,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,poludnie (10-14),tydzien,2,2,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,popoludnie (14-18),tydzien,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,wieczor (18-22),tydzien,5,5,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 2
 Hala",indoor,noc,tydzien,4,0,4,0.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,rano (6-10),tydzien,1,1,0,100.0
Padlovnia,Ursynów,kluby_org,"Hala 3
 Hala",indoor,poludnie (10-14),tydzien,3,3,0,100.0
